"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SW_PUSH_6mm_H5mm";1;"DigitalInput";;;
2;"SW1";"SW_PUSH_6mm_H5mm";1;"Reset";;;
3;"R4";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"10kΩ";;;
4;"R3,R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";2;"330Ω";;;
5;"R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"R";;;
6;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"External Power";;;
7;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
8;"D4,D2";"LED_D5.0mm";2;"LED";;;
9;"D1";"D_DO-15_P15.24mm_Horizontal";1;"1N4004";;;
10;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"10uF";;;
11;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"1uF";;;
12;"U2";"DIP-8_W7.62mm";1;"ATtiny85-20P";;;
13;"U1";"TO-220-3_Vertical";1;"LM7805";;;
